Region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,
.Alabama,"4,503,491","4,530,729","4,569,805","4,628,981","4,672,840","4,718,206","4,757,938","4,785,570","4,801,627","4,817,528","4,833,722",,
.Alaska,"648,414","659,286","666,946","675,302","680,300","687,455","698,895","713,868","723,375","730,307","735,132",,
.Arizona,"5,510,364","5,652,404","5,839,077","6,029,141","6,167,681","6,280,362","6,343,154","6,408,790","6,468,796","6,551,149","6,626,624",,
.Arkansas,"2,724,816","2,749,686","2,781,097","2,821,761","2,848,650","2,874,554","2,896,843","2,922,280","2,938,506","2,949,828","2,959,373",,
.California,"35,253,159","35,574,576","35,827,943","36,021,202","36,250,311","36,604,337","36,961,229","37,333,601","37,668,681","37,999,878","38,332,521",,
.Colorado,"4,528,732","4,575,013","4,631,888","4,720,423","4,803,868","4,889,730","4,972,195","5,048,196","5,118,400","5,189,458","5,268,367",,
.Connecticut,"3,484,336","3,496,094","3,506,956","3,517,460","3,527,270","3,545,579","3,561,807","3,579,210","3,588,948","3,591,765","3,596,080",,
.Delaware,"818,003","830,803","845,150","859,268","871,749","883,874","891,730","899,711","907,985","917,053","925,749",,
.Dist of Columbia,"568,502","567,754","567,136","570,681","574,404","580,236","592,228","605,125","619,624","633,427","646,449",,
.Florida,"17,004,085","17,415,318","17,842,038","18,166,990","18,367,842","18,527,305","18,652,644","18,846,054","19,083,482","19,320,749","19,552,860",,
.Georgia,"8,622,793","8,769,252","8,925,922","9,155,813","9,349,988","9,504,843","9,620,846","9,713,248","9,810,181","9,915,646","9,992,167",,
.Hawaii,"1,251,154","1,273,569","1,292,729","1,309,731","1,315,675","1,332,213","1,346,717","1,363,731","1,376,897","1,390,090","1,404,054",,
.Idaho,"1,363,380","1,391,802","1,428,241","1,468,669","1,505,105","1,534,320","1,554,439","1,570,718","1,583,930","1,595,590","1,612,136",,
.Illinois,"12,556,006","12,589,773","12,609,903","12,643,955","12,695,866","12,747,038","12,796,778","12,839,695","12,855,970","12,868,192","12,882,135",,
.Indiana,"6,196,638","6,233,007","6,278,616","6,332,669","6,379,599","6,424,806","6,459,325","6,489,965","6,516,336","6,537,782","6,570,902",,
.Iowa,"2,941,999","2,953,635","2,964,454","2,982,644","2,999,212","3,016,734","3,032,870","3,050,314","3,064,102","3,075,039","3,090,416",,
.Kansas,"2,723,004","2,734,373","2,745,299","2,762,931","2,783,785","2,808,076","2,832,704","2,858,910","2,869,548","2,885,398","2,893,957",,
.Kentucky,"4,117,170","4,146,101","4,182,742","4,219,239","4,256,672","4,289,878","4,317,074","4,347,698","4,366,869","4,379,730","4,395,295",,
.Louisiana,"4,521,042","4,552,238","4,576,628","4,302,665","4,375,581","4,435,586","4,491,648","4,545,392","4,575,197","4,602,134","4,625,470",,
.Maine,"1,306,513","1,313,688","1,318,787","1,323,619","1,327,040","1,330,509","1,329,590","1,327,366","1,327,844","1,328,501","1,328,302",,
.Maryland,"5,496,269","5,546,935","5,592,379","5,627,367","5,653,408","5,684,965","5,730,388","5,787,193","5,840,241","5,884,868","5,928,814",,
