,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,3+DTP†,4+DTP‡,3+Polio§,1+MMRll,3+Hib¶,3+HepB**,1+Var††,3+PCV‡‡,4:3:1§§,4:3:1:3llll,4:3:1:3:3¶¶,4:3:1:3:3:1***
US National         ,95.9±0.5,85.5±0.8,91.6±0.7,93.0±0.6,93.5±0.6,92.4±0.6,87.5±0.7,73.2±1.0,83.5±0.9,82.5±0.9,80.9±0.9,76.0±1.0
Alabama,96.6±2.4,85.8±5.6,92.1±4.0,91.8±4.5,95.1±2.9,93.6±3.8,89.9±4.7,74.0±6.5,84.1±5.7,83.0±6.2,82.3±6.2,80.1±6.3
   AL-Jefferson County,93.1±4.6,87.4±6.0,88.5±5.3,89.4±5.4,93.3±4.5,91.0±5.1,90.3±5.0,81.4±6.4,83.9±6.5,83.5±6.6,82.1±6.7,81.1±6.8
   AL-Rest of State,97.2±2.7,85.5±6.5,92.8±4.6,92.2±5.2,95.5±3.3,94.0±4.4,89.8±5.5,72.7±7.5,84.1±6.6,82.9±7.2,82.4±7.2,79.9±7.3
Alaska,93.1±3.7,79.9±6.4,88.3±5.1,89.7±4.8,86.6±5.3,90.1±4.7,76.5±6.5,74.6±6.9,78.2±6.4,76.1±6.5,75.3±6.6,66.4±6.9
Arizona,95.0±2.4,83.6±3.8,91.0±3.0,92.9±2.5,92.6±2.8,89.9±3.2,85.8±3.5,71.9±4.5,81.8±4.0,81.0±4.1,78.6±4.2,73.0±4.5
   AZ-Maricopa County,95.9±2.5,83.6±4.8,91.6±3.6,91.8±3.5,94.1±3.0,90.1±3.8,85.3±4.6,75.1±5.7,81.5±5.1,80.7±5.2,77.8±5.4,72.3±5.8
   AZ-Rest of State,93.4±5.0,83.6±6.3,89.9±5.4,95.0±3.1,89.8±5.6,89.7±5.5,86.7±4.9,66.0±7.5,82.5±6.4,81.7±6.4,80.1±6.5,74.3±6.9
Arkansas,97.6±2.2,85.8±5.8,94.3±4.2,94.6±3.0,97.6±2.2,94.7±3.5,94.0±3.0,63.6±7.5,84.9±5.9,84.9±5.9,82.4±6.3,80.6±6.3
California,94.1±2.3,85.3±3.2,90.6±2.7,93.1±2.1,91.7±2.5,90.4±2.6,90.2±2.4,76.1±3.9,84.1±3.2,83.1±3.3,81.3±3.4,78.6±3.5
   CA-Los Angeles County,95.6±3.3,85.2±5.0,93.1±3.5,94.1±2.9,90.8±4.1,91.8±3.9,89.7±4.0,72.3±6.4,83.6±5.1,81.7±5.3,80.1±5.5,76.6±5.8
   CA-San Diego County,94.5±3.2,83.4±5.2,90.0±3.8,89.5±4.5,92.6±3.8,89.9±4.0,87.3±4.7,70.3±6.3,80.0±5.4,79.9±5.4,77.2±5.6,74.3±5.8
   CA-Santa Clara County,94.3±3.8,90.0±4.4,91.5±4.3,92.5±4.1,93.8±3.9,91.3±4.1,87.0±5.0,83.7±5.5,88.1±4.7,87.7±4.7,84.6±5.1,79.9±5.6
   CA-Rest of State,93.3±3.5,85.2±4.8,89.4±4.2,93.2±3.3,91.8±3.7,89.7±4.1,91.2±3.6,78.1±5.8,84.6±4.8,83.9±4.9,82.1±5.1,80.1±5.3
Colorado,95.0±2.9,82.3±5.7,90.1±4.1,90.8±3.8,92.6±3.7,88.5±4.5,86.1±4.6,62.8±7.0,80.1±5.8,80.1±5.8,77.1±6.2,73.4±6.4
Connecticut,99.7±0.6,92.2±4.9,96.1±4.0,95.0±3.7,99.0±1.1,95.1±3.6,92.7±4.1,90.3±4.9,88.9±5.7,88.7±5.7,87.8±5.8,84.8±6.1
Delaware,98.7±1.2,87.4±5.5,92.4±4.6,94.5±3.9,94.1±4.2,94.7±3.6,87.6±5.6,74.4±6.6,86.4±5.6,86.4±5.6,86.0±5.6,79.9±6.5
District of Columbia,98.0±2.0,89.6±4.7,95.3±3.2,94.6±3.2,97.1±2.5,94.0±3.2,92.3±3.5,72.4±6.6,86.3±5.2,86.0±5.2,82.5±5.7,79.5±5.9
Florida,98.4±1.1,91.4±2.7,94.9±2.0,95.4±2.0,98.0±1.2,96.8±1.7,91.3±2.9,55.0±5.6,90.1±2.8,89.7±2.9,88.5±3.0,84.7±3.7
   FL-Miami-Dade County,96.8±2.8,88.1±4.7,92.6±3.9,93.9±3.4,98.3±1.6,96.5±2.1,81.3±5.9,48.6±7.2,85.8±5.0,85.3±5.1,84.0±5.2,73.0±6.5
   FL-Duval County,94.7±4.0,80.2±7.0,86.9±6.2,87.7±6.2,90.4±5.2,91.7±4.7,81.7±6.9,60.9±8.0,76.4±7.3,74.6±7.3,72.7±7.6,68.6±7.7
   FL-Rest of State,99.0±1.3,92.9±3.2,96.0±2.3,96.3±2.4,98.5±1.5,97.2±2.1,94.1±3.5,55.9±7.1,92.0±3.4,91.8±3.4,90.6±3.7,88.3±4.5
Georgia,97.8±2.0,88.2±5.1,95.3±2.8,91.9±4.3,94.1±2.9,94.5±3.1,91.6±4.1,67.9±6.5,86.7±5.2,85.5±5.2,84.7±5.3,82.0±5.5
   GA-Fulton/DeKalb Counties,96.8±2.3,89.3±4.3,93.8±3.3,93.7±3.7,93.1±3.5,93.7±3.2,89.4±4.7,68.1±7.4,86.9±4.8,86.0±4.9,85.6±4.9,80.9±5.6
   GA-Rest of State,98.0±2.4,88.0±6.1,95.6±3.3,91.5±5.2,94.3±3.5,94.7±3.7,92.1±4.9,67.8±7.8,86.6±6.2,85.4±6.3,84.5±6.4,82.2±6.6
Hawaii,94.9±2.5,85.6±4.5,88.7±4.1,94.7±2.9,92.4±3.2,89.9±3.9,91.7±3.4,86.0±4.1,83.4±4.7,82.6±4.8,81.2±4.9,79.8±5.0
Idaho,95.2±3.0,85.3±5.0,92.3±3.6,91.7±3.9,93.6±3.5,92.3±3.7,77.1±5.7,81.4±5.2,82.8±5.2,82.6±5.2,80.6±5.4,70.4±6.2
Illinois,97.8±1.6,88.5±3.5,93.3±2.7,95.0±2.4,91.8±3.4,94.3±2.4,85.9±3.7,76.4±4.7,86.4±3.8,83.7±4.3,82.7±4.4,73.7±4.9
   IL-City of Chicago,95.9±3.8,85.2±6.6,89.7±6.0,93.4±4.2,91.5±4.7,91.4±4.6,86.8±5.3,80.0±6.0,83.4±6.8,80.7±7.1,77.8±7.3,70.7±7.6
   IL-Rest of State,98.4±1.7,89.7±4.1,94.6±3.0,95.5±2.9,91.9±4.4,95.3±2.9,85.6±4.7,75.0±6.0,87.5±4.5,84.8±5.3,84.5±5.3,74.7±6.1
Indiana,95.5±2.6,83.0±4.9,93.1±3.0,91.5±3.9,93.9±2.9,93.0±2.9,80.3±5.4,77.7±5.7,81.3±5.1,81.3±5.1,79.0±5.3,68.2±6.4
