,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,4+DTP‡,3+Polio§,1+MMRll,3+Hib¶,3+HepB**,1+Var††,3+PCV‡‡,4+PCV§§,4:3:1llll,4:3:1:3¶¶,4:3:1:3:3***,4:3:1:3:3:1†††
US National         ,85.7±0.9,91.7±0.7,91.5±0.7,93.9±0.6,92.9±0.6,87.9±0.8,82.8±1.0,53.7±1.3,83.1±1.0,82.4±1.0,80.8±1.0,76.1±1.1
Alabama,89.6±4.1,91.6±4.3,94.1±3.0,96.9±2.0,94.4±2.9,93.5±3.4,86.6±4.8,58.0±7.1,86.0±4.9,85.1±5.0,83.3±5.2,81.7±5.5
   AL-Jefferson County,91.4±4.7,93.5±3.8,92.5±4.6,96.1±3.5,94.0±3.3,95.0±3.4,93.2±3.9,61.0±7.7,89.3±5.0,88.3±5.3,85.5±5.9,84.5±6.0
   AL-Rest of State,89.3±4.7,91.3±5.0,94.4±3.4,97.0±2.3,94.4±3.4,93.3±4.0,85.4±5.6,57.4±8.3,85.4±5.8,84.6±5.8,82.9±6.1,81.2±6.4
Alaska,84.6±5.6,89.1±4.9,90.8±4.5,88.9±4.8,88.1±5.0,81.2±6.0,79.7±6.2,54.7±7.7,80.3±6.3,77.7±6.6,75.4±6.8,68.1±7.4
Arizona,83.1±4.5,89.2±3.5,88.8±3.6,92.4±3.0,91.0±3.2,83.6±4.5,81.6±4.7,50.7±6.0,81.5±4.6,81.0±4.7,79.2±4.9,74.9±5.1
   AZ-Maricopa County,83.9±6.0,89.5±4.6,87.6±5.0,92.5±4.0,92.0±4.0,82.9±6.1,79.7±6.3,49.6±7.9,81.8±6.2,81.1±6.3,79.8±6.5,76.4±6.7
   AZ-Rest of State,81.6±6.4,88.7±5.2,91.1±4.4,92.2±4.3,89.1±5.5,84.8±5.9,85.2±6.2,52.9±8.5,80.8±6.5,80.8±6.5,78.2±7.0,72.0±7.5
Arkansas,73.8±8.7,84.6±7.2,89.0±6.4,87.9±6.4,87.9±6.4,85.9±6.6,76.3±7.8,40.3±9.1,70.3±9.0,69.3±9.0,67.8±9.0,64.2±9.2
California,83.5±4.0,90.5±2.9,91.6±2.6,93.7±2.0,92.6±2.3,89.5±3.1,85.6±3.6,52.6±5.3,80.5±4.3,79.9±4.3,77.9±4.4,74.0±4.8
   CA-Alameda County,83.3±7.3,87.9±7.1,83.2±7.6,91.2±5.8,85.4±7.1,85.8±7.1,88.1±6.4,62.9±8.9,77.8±8.2,76.7±8.2,74.0±8.5,71.1±8.7
   CA-Los Angeles County,84.7±5.2,91.7±4.0,93.8±3.2,92.1±3.9,91.9±3.7,92.3±3.7,83.5±5.2,55.3±7.6,82.9±5.4,81.7±5.6,79.0±5.8,77.9±5.9
   CA-San Bernardino County,73.2±7.1,84.5±6.0,85.2±5.9,81.4±7.1,82.9±6.2,80.5±6.6,72.2±7.8,49.4±8.4,72.1±7.2,69.3±7.9,67.7±7.9,62.8±8.1
   CA-Rest of State,83.9±6.0,90.6±4.2,91.7±3.8,95.7±2.6,94.2±3.1,89.3±4.7,87.6±5.3,51.0±7.7,80.3±6.4,80.2±6.4,78.5±6.6,73.4±7.1
