,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,4+DTaP‡,3+Polio§,1+MMRll,3+Hib¶,3+HepB**,1+Var††,3+PCV‡‡,4+PCV§§,4:3:1:3¶¶,4:3:1:3:3***,4:3:1:3:3:1†††,4:3:1:3:3:1:3€,4:3:1:3:3:1:4€€
US National,84.5±0.9,92.6±0.7,92.3±0.7,92.6±0.7,92.7±0.7,90.0±0.7,90.0±0.8,75.3±1.2,81.8±1.0,80.1±1.0,77.4±1.1,74.3±1.1,66.5±1.3
Alabama,85.4±5.2,94.9±3.1,95.0±2.8,95.4±3.3,95.1±2.9,92.0±4.5,95.8±2.5,79.6±5.7,83.9±5.3,81.6±5.6,78.2±6.3,76.7±6.4,67.3±7.0
Alaska,81.7±5.6,92.9±3.6,89.7±4.1,91.8±3.9,93.9±3.5,80.5±6.0,91.9±3.9,80.9±6.0,78.9±5.9,78.6±5.9,70.1±6.8,69.4±6.8,64.4±7.3
Arizona,85.4±5.7,90.6±4.9,89.0±4.8,91.1±4.7,92.0±3.9,86.0±5.4,89.0±5.2,76.8±6.6,82.6±5.9,80.2±6.1,75.2±6.7,73.9±6.8,66.1±7.3
Arkansas,78.8±5.8,90.2±4.5,92.5±3.1,90.1±4.2,92.4±3.9,89.2±4.2,87.4±4.6,65.4±6.4,77.0±5.7,75.0±5.9,72.3±6.2,70.2±6.2,57.4±6.5
California,84.9±4.0,92.3±3.1,94.6±2.4,92.7±2.8,91.6±3.2,93.2±2.6,93.4±2.9,78.8±4.8,81.4±4.3,79.4±4.5,77.1±4.7,74.6±5.0,67.7±5.4
   CA-Alameda County,83.1±5.4,92.1±3.7,91.6±4.4,90.5±4.5,90.8±4.5,89.6±4.5,92.8±3.2,80.7±5.7,79.8±5.6,78.6±5.7,76.3±5.8,75.3±5.8,69.4±6.2
   CA-Los Angeles County,84.0±5.3,94.3±3.2,95.8±2.8,95.6±2.9,93.0±3.7,93.9±3.3,94.5±3.1,74.8±6.2,82.6±5.4,80.3±5.7,78.0±5.9,75.7±6.1,65.0±6.7
   CA-San Bernardino County,74.8±6.2,90.5±4.1,90.3±4.3,88.5±4.6,92.0±3.8,89.8±4.4,89.5±4.4,68.6±6.4,71.3±6.4,71.1±6.4,69.6±6.5,67.6±6.6,57.5±6.8
   CA-Rest of State,86.4±5.8,91.6±4.8,94.7±3.5,92.0±4.2,91.0±4.9,93.5±3.8,93.3±4.4,81.3±7.1,81.9±6.5,79.9±6.7,77.4±7.0,74.8±7.5,69.7±8.1
Colorado,82.1±7.0,95.0±3.1,91.2±4.5,94.1±3.2,94.1±4.7,88.9±5.9,92.9±3.6,70.7±8.7,80.8±7.1,78.6±7.8,78.0±7.8,74.6±8.1,64.3±9.1
Connecticut,91.1±4.4,97.9±2.1,95.3±2.8,96.8±2.9,97.5±2.2,94.2±3.3,95.0±3.2,88.8±4.9,89.3±4.6,89.3±4.6,86.8±5.0,84.5±5.3,81.2±5.9
Delaware,86.9±4.5,93.7±3.5,94.8±3.3,93.0±3.8,95.7±2.5,92.1±3.8,92.8±3.4,77.3±6.2,82.3±5.5,81.8±5.6,80.3±5.7,76.9±6.0,68.6±6.7
District of Columbia,85.1±5.6,93.3±3.5,95.2±3.3,95.2±3.1,95.2±3.6,94.0±3.5,88.5±5.0,77.5±6.2,83.1±5.8,82.8±5.8,81.6±5.9,77.3±6.4,71.0±6.7
Florida,85.0±5.2,93.2±3.9,92.3±4.1,92.6±4.0,94.9±3.3,90.2±4.4,86.4±4.9,66.1±6.7,83.2±5.3,82.4±5.4,80.3±5.5,74.4±6.0,61.8±6.8
   FL-Miami-Dade County,86.0±5.0,95.4±2.8,95.4±3.0,95.0±3.6,93.0±4.1,90.8±4.5,86.0±5.3,61.2±7.3,84.9±5.1,81.1±5.8,76.1±6.3,71.3±6.7,53.8±7.4
   FL-Rest of State,84.9±6.0,92.8±4.6,91.8±4.8,92.2±4.7,95.3±3.8,90.1±5.1,86.4±5.6,67.0±7.8,82.9±6.2,82.7±6.2,81.0±6.4,74.9±6.9,63.2±7.9
Georgia,85.5±5.2,93.9±3.2,91.4±4.2,91.1±4.3,93.9±3.4,91.6±4.1,93.3±3.6,75.5±6.7,82.5±5.7,80.8±5.9,79.6±6.0,76.0±6.4,65.9±7.2
Hawaii,90.6±3.8,96.0±2.6,93.8±3.7,95.3±2.9,95.2±2.9,95.5±2.6,91.9±4.1,80.7±5.8,89.1±4.1,87.8±4.4,87.5±4.5,83.7±5.2,77.4±6.1
Idaho,77.2±6.3,87.6±4.9,86.1±5.2,86.3±5.1,88.8±4.7,75.5±6.4,84.2±5.4,66.6±7.2,75.8±6.5,75.8±6.5,65.6±7.2,63.5±7.3,52.9±7.6
Illinois,81.6±4.2,91.0±3.3,93.1±2.7,91.3±3.4,92.3±3.0,88.7±3.4,88.5±3.6,76.0±4.5,77.8±4.5,76.9±4.6,73.5±4.8,71.2±4.8,65.8±5.0
   IL-City of Chicago,78.2±6.4,89.6±5.1,89.5±4.7,90.5±5.1,89.6±4.7,88.8±4.2,87.4±5.2,69.0±6.7,75.3±6.6,72.9±6.6,71.0±6.7,69.1±6.7,60.6±6.8
   IL-Rest of State,82.7±5.2,91.5±4.0,94.4±3.2,91.6±4.2,93.2±3.7,88.7±4.4,88.9±4.5,78.5±5.6,78.7±5.7,78.2±5.7,74.4±6.0,71.9±6.1,67.6±6.3
Indiana,80.3±4.4,91.9±2.9,90.4±3.3,90.6±3.3,93.6±2.5,88.3±3.5,87.6±3.9,70.4±5.2,77.8±4.5,76.8±4.5,74.0±4.6,70.3±5.0,61.8±5.3
   IN-Marion County,80.8±5.2,91.8±3.3,87.5±4.6,90.0±4.5,91.5±4.3,86.0±4.6,90.1±4.3,75.0±5.7,75.8±5.6,73.1±5.8,71.4±5.9,69.8±6.0,63.2±6.3
