,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,4+DTaP‡,3+Polio§,1+MMRll,3+Hib¶,3+HepB**,1+HepB 3 day††,1+Var‡‡,4+PCV7§§,2+HepAllll,4:3:1:3:3¶¶,4:3:1:3:3:1***,4:3:1:3:3:1:4†††,
US National         ,84.6±1.0,93.6±0.6,92.1±0.7,90.9±0.7,93.5±0.7,55.3±1.3,90.7±0.7,80.1±1.1,40.4±1.2,78.2±1.1,76.1±1.1,68.4±1.2,
Alabama,83.1±5.8,92.1±4.0,93.6±3.8,91.3±4.0,91.0±4.2,66.5±5.8,92.9±3.9,76.3±6.2,33.9±6.0,76.3±6.1,75.1±6.1,67.2±6.5,
Alaska,79.2±6.0,91.9±3.8,88.4±5.0,89.6±4.1,93.1±3.5,64.6±6.9,77.8±6.4,77.6±6.0,48.7±7.4,76.2±6.3,69.2±6.9,63.4±7.1,
Arizona,84.6±5.6,92.4±4.2,92.2±4.4,91.5±4.0,94.2±3.0,81.4±4.9,91.1±4.4,79.0±6.2,48.1±7.0,79.2±6.1,76.4±6.3,69.1±6.6,
Arkansas,81.4±5.7,91.6±4.2,92.2±4.1,89.3±5.0,94.3±3.1,73.8±6.6,90.0±5.0,74.8±6.2,22.4±5.6,78.0±5.9,75.5±6.4,64.9±6.8,
California,86.8±3.5,95.7±2.0,92.7±2.8,94.1±2.3,94.7±2.5,36.3±5.0,92.4±2.7,83.0±3.9,48.2±5.1,80.6±4.1,78.7±4.2,70.5±4.7,
   CA-Los Angeles County,86.5±4.3,95.6±2.4,91.1±3.6,93.5±2.9,95.8±2.3,32.4±5.9,92.2±3.2,80.2±5.1,52.6±6.2,78.6±5.1,76.2±5.3,67.6±5.9,
   CA-Northern CA,76.5±6.0,90.9±4.1,87.7±4.6,89.8±3.9,92.1±3.5,14.2±5.0,85.9±4.9,69.2±6.5,29.8±6.9,70.8±6.4,68.5±6.5,58.1±7.0,
   CA-Santa Clara County,90.6±4.4,95.9±2.8,93.7±3.3,91.4±5.6,97.3±2.5,70.4±7.4,90.8±4.4,85.3±5.2,51.6±8.2,84.1±6.4,80.9±6.7,73.6±7.3,
   CA-Rest of State,87.0±5.0,95.8±2.9,93.5±3.9,94.7±3.2,94.1±3.7,36.0±7.1,92.9±3.9,84.4±5.5,46.6±7.3,81.4±5.8,79.9±5.9,71.8±6.7,
