,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Region,3+DTaP‡,4+DTaP§,3+Polioll,1+MMR¶,3+Hib**,3+Hib-S††,Hib by brand‡‡,3+HepB§§,Hep B Birth dosellll,1+Var¶¶,3+PCV***,4+PCV†††,2+HepA‡‡‡,Rotavirus§§§,4:3:1llllll,4:3:1:3:3:1¶¶¶,4:3:1:3:3:1-S****,4:3:1:4:3:1€,4:3:1:3:3:1:4?,4:3:1:3:3:1:4-S€€,4:3:1:4:3:1:4??,4:3:1:0:3:1:4€€€,4:3:1:0:3:1:4-2008???
US National¥,95.0±0.6,83.9±1.0,92.8±0.7,90.0±0.8,83.6±1.0,92.1±0.8,54.8±1.4,92.4±0.7,60.8±1.3,89.6±0.8,92.6±0.7,80.4±1.1,46.6±1.4,43.9±1.4,81.5±1.1,69.9±1.2,75.7±1.2,48.3±1.4,63.6±1.3,69.0±1.3,44.3±1.4,70.5±1.2,70.6±1.2
Alabama,96.4±3.2,85.3±5.8,96.6±2.3,95.4±2.9,89.4±5.3,95.8±3.8,59.1±8.7,92.9±4.1,68.1±7.0,93.4±3.9,95.6±3.5,73.3±9.2,43.6±8.0,50.8±8.4,83.8±5.9,73.3±8.1,77.9±7.9,54.4±8.6,60.1±8.8,63.9±8.9,47.3±8.3,63.9±8.9,69.1±6.5
Alaska,92.6±4.2,74.4±6.8,91.6±4.4,85.2±5.8,84.0±5.7,93.0±3.5,80.3±6.1,92.2±4.1,65.4±7.6,76.0±7.1,92.2±4.2,73.2±7.3,45.9±8.2,32.3±7.4,71.1±7.1,63.8±7.8,64.6±7.8,61.7±7.8,55.2±8.3,55.9±8.3,53.3±8.3,56.6±8.3,64.1±7.1
Arizona,95.2±2.6,83.7±4.8,93.0±3.3,90.8±3.6,85.4±4.5,90.9±3.7,48.3±6.7,89.0±4.3,77.6±5.7,89.2±4.0,92.6±3.4,77.8±5.6,51.9±6.8,39.8±6.5,80.9±5.2,69.9±6.1,73.4±5.9,40.0±6.5,61.6±6.6,64.8±6.5,36.7±6.4,66.4±6.5,71.1±6.6
Arkansas,91.3±3.7,73.1±6.6,89.9±4.0,81.8±6.0,78.3±6.2,84.9±5.0,42.1±6.8,89.8±3.9,70.7±6.7,85.0±5.6,88.2±4.3,69.2±6.8,25.1±5.7,27.3±5.8,71.2±6.7,63.1±6.9,66.7±6.9,37.5±6.6,57.9±7.0,60.9±7.0,34.4±6.4,61.5±6.9,66.7±6.8
California,93.8±3.2,83.4±4.7,91.8±3.5,89.8±3.7,86.7±4.2,92.0±3.5,61.5±6.1,90.3±3.7 ,49.8±6.3,90.4±3.7,92.2±3.4,79.8±5.1,51.5±6.3,43.9±6.1,81.6±4.8,74.9±5.2,78.2±5.0,55.5±6.2,68.7±5.7,71.6±5.6,49.9±6.2,72.2±5.5,72.0±4.7
   CA-Los Angeles County,93.8±4.2,85.9±5.8,90.2±5.3,88.9±5.4,90.0±4.8,93.8±4.2,61.0±7.9,91.6±4.8,51.5±8.1,91.8±4.6,91.5±4.8,79.4±6.7,51.7±8.0,51.5±8.1,82.5±6.5,78.1±6.7,80.8±6.5,54.8±8.0,71.4±7.3,73.5±7.2,50.6±8.0,73.5±7.2,69.4±5.8
   CA-Rest of State,93.8±4.1,82.4±6.0,92.4±4.4,90.1±4.7,85.5±5.5,91.4±4.5,61.7±7.8,89.9±4.7,49.1±8.1,89.9±4.8,92.5±4.3,79.9±6.5,51.5±8.0,41.1±7.8,81.3±6.1,73.7±6.7,77.3±6.4,55.7±7.9,67.6±7.4,70.8±7.2,49.6±8.0,71.7±7.1,NA
Colorado,90.7±5.7,81.8±6.7,88.7±5.8,83.6±7.0,79.8±7.3,86.0±7.0,58.9±8.4,85.7±6.3,52.5±8.8,83.2±6.4,86.4±7.1,77.5±7.6,38.9±8.5,44.8±8.8,77.6±7.4,65.2±8.3,69.2±8.2,49.6±8.8,60.6±8.5,64.6±8.4,46.9±8.8,66.1±8.4,77.4±6.9
Connecticut,98.7±1.2,87.6±6.0,96.6±3.2,93.7±3.3,58.8±9.7,89.8±7.3,45.4±9.8,98.4±1.3,46.8±9.6,92.1±4.7,98.8±1.0,90.7±5.4,46.9±9.8,46.4±9.6,84.6±6.3,46.5±9.8,71.4±9.1,37.2±9.7,43.8±9.8,68.4±9.3,34.4±9.6,76.0±7.7,78.9±6.1
Delaware,95.6±3.1,86.8±5.2,92.9±3.8,90.2±4.2,79.5±5.9,89.1±4.7,51.4±7.3,89.4±4.8,62.8±7.4,91.0±4.0,94.9±2.9,81.6±5.9,52.3±7.3,56.4±7.4,84.6±5.4,65.3±7.1,73.5±6.6,42.8±7.2,60.0±7.3,67.7±6.9,38.9±7.1,69.2±6.8,68.5±6.9
