,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,3+DTaP¥,4+DTaP‡,3+Polio§,1+MMRll,3+Hib¶,Hib-PS**,Hib-FS††,3+HepB‡‡,Hep B Birth dose§§,1+Varllll,3+PCV¶¶,4+PCV***,2+HepA†††,Rotavirus‡‡‡,4:3:1§§§,4:3:1:3llllll,4:3:1:3-PS¶¶¶,4:3:1:4-FS****,4:3:1:3:3:1€,4:3:1:0:3:1?,4:3:1:3:3:1-PS€€,4:3:1:4:3:1-FS??,4:3:1:3:3:1:4€€€,4:3:1:0:3:1:4???,4:3:1:3:3:1:4-PS€€€€,4:3:1:4:3:1:4-FS????
US National,95.0±0.6,84.4±1.0,93.3±0.7,91.5±0.7,90.4±0.9,92.2±0.8,66.8±1.3,91.8±0.7,64.1±1.3,90.4±0.8,92.6±0.8,83.3±1.0,49.7±1.4,59.2±1.4,82.0±1.1,78.8±1.2,80.3±1.1,62.2±1.3,74.9±1.2,77.8±1.1,76.3±1.2,59.2±1.3,70.2±1.3,72.7±1.2,71.5±1.2,56.6±1.3
Alabama,97.9±1.7,89.8±3.5,95.3±2.5,95.4±2.3,94.2±2.6,96.4±2.1,68.8±5.7,89.9±3.8,70.7±5.5,96.2±2.2,96.1±2.2,86.1±4.1,50.5±6.2,63.4±6.1,87.8±3.8,85.1±4.1,86.5±3.9,66.1±5.8,77.3±5.1,79.1±5.0,78.2±5.1,62.6±5.9,71.2±5.6,72.4±5.5,71.9±5.5,58.2±6.1
Alaska,91.2±3.6,79.1±5.5,90.4±3.7,88.4±3.9,87.1±4.4,92.6±3.2,78.8±5.4,91.8±3.4,71.2±6.0,83.5±4.8,89.2±4.1,75.7±5.9,44.7±6.8,47.1±6.8,76.7±5.7,75.0±5.8,76.3±5.7,68.4±6.3,70.2±6.2,71.9±6.1,71.4±6.1,63.6±6.5,65.0±6.5,66.1±6.5,65.9±6.5,58.4±6.8
Arizona,94.2±3.5,83.7±5.2,91.5±4.0,87.7±4.9,92.1±3.7,92.9±3.6,68.1±6.4,91.8±3.7,80.4±5.2,88.2±4.8,92.5±3.8,79.9±5.9,51.0±6.7,60.7±6.7,80.3±5.7,79.0±5.7,79.5±5.7,61.5±6.7,76.3±5.9,77.4±5.8,76.9±5.8,59.0±6.7,70.0±6.4,71.1±6.3,70.5±6.3,56.0±6.7
Arkansas,93.2±3.9,82.6±5.1,91.8±4.1,90.5±4.2,90.5±4.2,90.9±4.2,61.4±6.9,93.7±3.5,82.4±5.0,91.9±4.1,91.7±4.1,79.5±5.8,34.2±6.4,48.5±7.0,82.0±5.2,80.0±5.5,80.4±5.4,59.5±7.0,79.3±5.5,81.2±5.2,79.7±5.5,58.9±7.0,73.2±6.1,74.5±6.0,73.6±6.1,56.3±7.0
California,93.1±3.3,79.7±5.5,91.0±3.6,91.4±3.5,89.3±4.5,90.8±4.3,64.4±6.5,90.1±3.8,53.0±6.7,88.9±4.4,90.4±4.0,83.5±4.8,53.4±6.7,58.9±6.7,77.9±5.6,75.4±6.0,76.4±5.9,59.3±6.6,71.3±6.2,73.9±5.9,72.3±6.2,55.7±6.7,68.6±6.3,71.0±6.0,69.6±6.2,54.1±6.7
CA-Los Angeles County,97.7±1.6,87.1±4.9,95.8±2.5,93.0±3.1,95.6±2.4,96.8±2.1,66.7±7.0,93.3±3.3,52.3±7.3,95.1±2.8,95.9±2.6,89.0±4.3,52.6±7.2,65.1±7.0,83.5±5.3,82.3±5.4,83.1±5.3,61.1±7.1,80.0±5.6,81.2±5.5,80.8±5.5,59.1±7.2,77.4±5.9,78.1±5.8,78.1±5.8,58.5±7.2
CA-Rest of State,91.4±4.5,77.0±7.3,89.3±4.8,90.8±4.6,86.9±6.0,88.6±5.8,63.6±8.6,88.9±5.0,53.2±8.8,86.6±5.9,88.4±5.4,81.5±6.4,53.7±8.7,56.6±8.8,75.9±7.4,72.8±7.9,73.9±7.8,58.6±8.7,68.1±8.2,71.2±7.8,69.2±8.2,54.5±8.7,65.4±8.3,68.4±7.9,66.5±8.3,52.5±8.7
Colorado,93.9±3.2,86.0±4.4,92.6±3.4,89.3±3.7,87.8±4.7,89.2±4.6,69.2±6.4,90.9±3.4,57.6±7.0,85.7±4.3,91.0±3.6,81.6±5.4,42.0±6.7,55.0±7.3,82.3±4.8,77.4±5.6,78.8±5.6,64.1±6.7,71.3±6.1,76.3±5.4,72.8±6.0,59.8±6.9,65.7±6.5,68.3±6.4,66.9±6.5,56.2±7.1
Connecticut,97.5±2.2,90.9±4.2,97.8±2.1,97.8±1.5,87.5±5.4,94.5±3.5,69.6±7.7,97.4±1.7,60.0±7.7,92.5±3.8,97.9±1.5,91.1±4.4,48.5±7.7,61.8±7.8,90.3±4.3,80.2±6.3,87.3±5.0,65.6±7.8,75.7±6.8,85.0±5.3,82.2±5.8,61.4±7.9,70.1±7.2,79.4±6.1,76.6±6.5,57.9±8.0
Delaware,97.6±1.8,88.3±3.9,95.3±2.5,94.0±3.0,92.2±3.3,95.4±2.4,67.1±5.9,89.5±4.0,69.3±5.7,94.5±2.5,97.0±2.1,87.9±4.3,62.0±6.0,82.1±4.8,85.6±4.3,80.7±4.9,83.9±4.5,61.4±6.1,72.9±5.6,76.8±5.3,75.7±5.4,56.2±6.2,68.1±5.8,71.9±5.7,70.8±5.7,54.3±6.2
Dist. of Columbia,96.4±2.3,87.6±5.1,93.0±3.4,94.7±3.7,94.7±3.4,94.7±3.4,72.4±7.6,94.2±3.0,63.5±7.9,97.2±2.3,97.0±1.8,88.0±5.4,55.8±8.1,52.7±8.3,85.0±5.5,83.3±5.9,83.3±5.9,68.9±7.7,81.2±6.0,82.9±5.7,81.2±6.0,67.3±7.7,77.3±6.7,78.8±6.5,77.3±6.7,66.2±7.8
Florida,97.6±2.2,92.2±4.1,96.2±2.5,94.1±3.0,94.3±4.1,94.3±4.1,76.0±6.5,96.1±2.5,52.3±7.9,95.4±3.2,94.5±3.6,88.1±4.9,49.6±7.9,59.7±7.8,89.6±4.4,87.5±5.0,87.5±5.0,72.7±6.6,85.8±5.1,87.0±5.0,85.8±5.1,71.4±6.7,79.9±5.9,80.5±5.8,79.9±5.9,68.2±6.9
Georgia,96.7±2.8,86.2±4.8,95.9±3.1,91.5±4.0,87.3±4.8,90.4±4.4,59.7±6.7,95.5±3.1,74.9±5.8,94.2±3.4,96.4±2.9,86.3±5.5,64.4±6.7,59.0±6.8,83.8±5.1,75.6±5.9,78.1±5.8,54.1±6.8,73.9±6.0,81.8±5.2,76.4±5.9,53.1±6.8,67.0±6.8,74.7±6.3,69.3±6.7,49.6±6.9
Hawaii,94.0±3.1,85.9±4.5,92.5±3.3,93.2±3.3,86.7±5.0,88.1±4.8,71.6±6.1,89.0±4.4,71.5±6.0,92.4±3.4,91.1±4.2,83.0±5.3,44.9±6.4,52.1±6.5,83.7±4.8,78.9±5.7,80.1±5.6,67.7±6.3,76.0±5.8,79.1±5.6,77.2±5.7,66.1±6.4,72.9±6.0,76.0±5.8,74.1±5.9,63.7±6.4
Idaho,90.8±4.5,77.9±5.7,89.2±4.7,87.2±5.0,77.7±6.2,82.3±5.9,53.3±6.9,86.8±4.9,65.2±6.4,83.7±5.1,88.0±4.9,79.7±5.5,44.2±6.8,50.4±6.9,75.9±5.8,66.2±6.6,70.0±6.5,49.5±6.9,61.2±6.7,70.6±6.1,65.1±6.6,45.7±6.9,57.4±6.8,66.3±6.4,61.3±6.7,42.6±6.8
Illinois,97.1±1.4,85.3±4.1,95.9±1.9,90.5±3.2,91.2±3.2,93.7±2.9,69.5±5.4,93.5±2.6,66.1±5.2,89.0±3.6,96.1±1.7,87.1±4.0,45.2±5.5,60.3±5.5,83.5±4.2,80.5±4.4,81.9±4.3,64.7±5.4,75.9±4.8,78.7±4.6,77.4±4.7,60.7±5.5,72.4±5.0,75.1±4.9,73.9±4.9,59.5±5.5
IL-City of Chicago,95.1±2.7,84.9±4.7,94.4±2.8,88.8±3.8,93.0±3.3,93.2±3.3,76.7±5.3,91.4±3.3,74.6±5.6,90.4±3.5,94.3±2.8,88.9±3.8,44.1±6.6,61.8±6.5,81.5±5.0,79.9±5.2,80.0±5.1,69.8±5.8,76.5±5.3,77.5±5.2,76.6±5.3,66.4±5.9,74.1±5.5,75.1±5.4,74.2±5.5,64.7±6.0
IL-Rest of State,97.8±1.7,85.5±5.3,96.4±2.3,91.1±4.2,90.6±4.2,93.8±3.8,67.0±7.0,94.2±3.4,63.1±6.7,88.6±4.6,96.7±2.1,86.5±5.2,45.6±7.1,59.8±7.0,84.1±5.4,80.7±5.7,82.6±5.6,62.9±7.0,75.7±6.2,79.2±5.9,77.6±6.1,58.7±7.1,71.8±6.4,75.1±6.3,73.7±6.4,57.7±7.1
Indiana,93.2±3.4,81.6±5.2,92.1±3.5,92.3±3.5,87.8±4.3,89.0±4.2,65.1±6.0,91.7±3.4,77.9±5.1,88.5±4.2,91.1±3.7,80.2±5.3,46.9±6.5,54.3±6.3,80.1±5.2,77.7±5.4,78.9±5.3,62.7±6.1,73.9±5.6,75.8±5.5,74.8±5.6,59.7±6.2,70.2±5.9,71.6±5.8,70.7±5.8,58.2±6.2
Iowa,96.4±2.9,84.6±5.3,95.3±3.5,93.8±3.7,89.1±4.5,94.8±3.6,63.9±7.1,93.7±3.8,52.3±7.2,92.7±3.9,93.5±4.3,87.6±5.4,55.8±7.2,66.1±6.9,83.8±5.4,78.8±5.9,83.6±5.4,59.0±7.2,77.3±6.0,82.4±5.5,82.1±5.5,58.4±7.2,72.7±6.7,77.8±6.3,77.5±6.3,57.7±7.2
Kansas,95.1±3.0,86.6±5.1,94.7±3.0,90.0±4.6,89.7±5.0,92.9±3.7,63.4±7.3,94.7±2.6,80.1±5.5,87.5±5.2,94.4±3.1,85.3±5.1,49.7±7.4,58.9±7.4,85.4±5.2,80.8±6.1,84.1±5.4,60.4±7.4,77.6±6.5,82.1±5.7,80.8±5.9,57.7±7.4,74.0±6.7,78.6±6.0,77.3±6.2,54.9±7.4
