Region,3+DTaP¥,4+DTaP‡,3+Polio§,1+MMRll,3+Hib¶,Hib-PS**,Hib-FS††,3+HepB‡‡,Hep B Birth dose§§,1+Varllll,3+PCV¶¶,4+PCV***,1+HepA#,2+HepA†††,Rotavirus‡‡‡,4:3:1§§§,4:3:1:3llllll,(4:3:1:2*)¶¶¶,(4:3:1:3*)****,4:3:1:3:3:1€,4:3:1:-:3:1?,4:3:1:2*:3:1€€,4:3:1:3*:3:1??,4:3:1:3:3:1:4€€€,4:3:1:-:3:1:4???,4:3:1:2*:3:1:4€€€€,4:3:1:3*:3:1:4????
US National,95.5±0.5,84.6±1.0,93.9±0.6,91.6±0.8,94.0±0.6,94.2±0.6,80.4±1.1,91.1±0.7,68.6±1.3,90.8±0.7,93.6±0.6,84.4±1.0,81.2±1.0,52.2±1.4,67.3±1.3,82.6±1.0,81.9±1.0,81.9±1.0,75.4±1.2,77.0±1.1,77.6±1.1,77.0±1.1,71.0±1.2,73.3±1.2,73.6±1.2,73.3±1.2,68.5±1.3
Alabama,97.1±1.8,87.5±4.7,96.2±2.0,94.0±2.9,96.4±2.1,96.4±2.1,79.6±5.6,91.2±3.5,75.3±5.8,94.2±2.8,96.4±2.0,85.2±5.1,84.8±4.3,53.7±6.5,75.5±5.7,85.8±4.8,84.8±4.9,84.8±4.9,75.9±5.8,79.2±5.3,79.5±5.3,79.2±5.3,71.0±6.0,72.9±5.9,73.3±5.9,72.9±5.9,68.8±6.1
Alaska,93.7±3.5,77.4±6.4,93.3±3.5,90.8±3.9,89.7±4.4,92.1±4.0,83.8±5.3,93.3±3.5,63.9±7.1,87.2±4.5,90.9±4.1,78.2±6.0,85.0±4.9,48.9±7.6,55.6±7.5,76.9±6.4,75.5±6.6,75.5±6.6,71.3±6.9,73.2±6.7,74.5±6.6,73.2±6.7,69.0±7.0,67.7±7.1,69.0±7.0,67.7±7.1,64.7±7.3
Arizona,95.9±2.5,86.0±6.0,93.8±2.9,86.7±6.7,93.7±3.6,94.4±3.3,82.4±6.8,87.0±6.0,71.2±8.2,87.9±5.9,93.1±3.6,83.3±6.4,87.5±5.8,51.2±9.1,64.6±8.7,79.9±7.3,78.8±7.5,78.8±7.5,74.6±8.0,68.1±8.7,69.2±8.6,68.1±8.7,64.2±8.9,64.0±8.9,65.1±8.8,64.0±8.9,60.4±9.0
Arkansas,95.5±2.5,84.5±5.5,95.8±2.3,93.7±3.2,92.9±4.0,92.9±4.0,77.0±6.3,90.0±4.3,81.9±6.9,93.0±3.4,91.7±4.8,79.1±6.4,63.0±7.6,33.2±7.2,62.1±7.5,82.6±5.8,82.2±5.8,82.2±5.8,73.4±6.8,79.1±6.1,79.1±6.1,79.1±6.1,70.5±7.0,71.5±7.1,71.5±7.1,71.5±7.1,66.0±7.5
California,96.5±1.7,87.7±3.9,94.1±2.5,91.0±3.7,95.0±2.3,95.0±2.3,81.9±4.5,90.3±3.2,58.4±6.3,91.8±2.8,96.1±1.8,86.1±4.0,88.0±3.6,59.6±6.4,71.1±5.8,86.2±4.0,85.2±4.2,85.2±4.2,76.8±5.1,80.4±4.7,81.4±4.6,80.4±4.7,72.5±5.4,77.4±5.0,78.0±4.9,77.4±5.0,70.1±5.6
Colorado,91.2±5.1,81.0±7.7,89.8±5.2,88.4±5.4,90.9±5.3,91.0±5.3,76.5±8.3,88.0±5.2,57.8±8.4,88.6±5.3,87.3±6.7,78.7±7.7,67.5±8.5,46.8±8.5,67.7±8.1,78.7±7.7,77.7±7.8,77.7±7.8,72.5±8.3,75.8±7.8,75.8±7.8,75.8±7.8,70.8±8.3,70.3±8.5,70.3±8.5,70.3±8.5,65.7±8.7
Connecticut,97.5±1.8,88.8±3.6,96.7±2.4,95.0±2.6,96.3±2.5,96.3±2.5,84.5±4.8,94.1±2.6,71.1±5.6,94.1±3.0,97.0±1.9,91.6±3.2,83.8±4.9,53.9±6.8,69.6±6.0,86.1±4.1,85.8±4.1,85.8±4.1,79.9±5.1,81.2±4.8,81.4±4.8,81.2±4.8,76.2±5.4,79.0±5.0,79.0±5.0,79.0±5.0,74.6±5.5
Delaware,94.0±4.6,83.7±6.0,92.1±4.9,90.6±5.1,93.5±4.8,93.5±4.8,78.6±6.2,83.8±6.3,68.4±6.7,90.5±5.1,91.8±4.9,84.5±6.0,81.6±6.1,54.5±7.3,72.5±6.9,80.2±6.3,80.2±6.3,80.2±6.3,73.5±6.6,72.1±6.9,72.1±6.9,72.1±6.9,66.8±7.0,68.6±7.0,68.6±7.0,68.6±7.0,63.5±7.0
Dist. of Columbia,95.0±2.7,87.4±4.6,93.2±3.4,93.5±3.0,94.5±2.6,94.5±2.6,83.5±5.1,91.6±3.3,74.1±6.6,93.7±2.8,93.1±2.9,83.8±5.1,89.5±4.3,55.8±7.3,62.1±7.0,86.5±4.7,85.3±4.8,85.3±4.8,80.3±5.5,81.4±5.2,82.3±5.1,81.4±5.2,77.3±5.7,76.3±5.8,76.3±5.8,76.3±5.8,73.1±6.1
