Region,3+DTaP¥,4+DTaP‡,3+Polio§,1+MMRll,Hib-PS¶,Hib-FS**,3+HepB††,HepB Birth dose‡‡,1+Var§§,3+PCV||||,4+PCV¶¶,1+ HepA***,2+HepA†††,Rotavirus‡‡‡,4:3:1§§§,(4:3:1:3*)||||||,4:3:1:3*:3¶¶¶,4:3:1:3*:3:1****,4:3:1:3*:3:1:4††††
US National,94.3±0.7,82.5±1.2,92.8±0.7,90.8±0.8,93.3±0.7,80.9±1.2,89.7±0.9,71.6±1.4,90.2±0.8,92.3±0.8,81.9±1.1,81.5±1.1,53.0±1.5,68.6±1.4,80.5±1.2,76.0±1.3,73.2±1.3,71.9±1.4,68.4±1.4
Alabama,95.8±2.5,84.8±5.9,94.2±2.9,93.1±3.5,95.1±3.5,81.9±6.1,90.4±3.9,83.8±4.9,93.6±3.2,95.4±2.5,87.1±5.5,83.3±5.6,49.2±7.4,66.0±7.4,83.3±6.0,78.2±6.5,73.3±6.7,72.5±6.8,71.3±6.8
Alaska,91.3±4.3,79.4±5.8,90.4±4.5,86.2±5.1,91.3±4.4,75.9±6.1,90.2±4.5,56.8±6.9,84.6±5.1,90.6±4.4,75.3±6.2,83.8±5.4,50.1±6.9,60.3±6.8,78.0±5.9,67.5±6.6,67.3±6.6,66.1±6.6,59.5±6.8
Arizona,95.6±2.7,82.7±5.8,92.2±4.2,88.3±4.9,96.0±2.6,79.6±6.0,90.5±4.1,83.0±5.3,86.4±5.8,95.2±2.8,84.3±5.7,86.3±5.1,55.2±6.9,71.6±6.7,78.5±6.4,74.5±6.6,71.4±7.1,69.4±7.5,67.5±7.5
Arkansas,93.9±4.1,79.8±6.4,93.0±4.2,92.3±4.0,91.6±4.6,77.7±6.8,89.0±4.8,81.7±6.5,93.1±3.8,91.6±4.6,77.3±6.9,68.6±7.3,40.1±7.5,56.3±8.0,79.4±6.5,74.8±7.0,70.0±7.2,69.6±7.2,66.4±7.6
California,93.0±4.0,81.6±6.6,92.0±3.7,91.5±4.3,93.4±3.6,81.6±5.8,89.1±4.2,61.5±7.5,90.8±4.3,91.7±4.0,81.3±5.7,86.0±5.5,54.6±7.8,71.0±6.8,79.5±6.7,75.8±6.9,73.5±7.0,71.8±7.1,66.8±7.5
Colorado,94.2±3.6,82.8±6.7,92.2±4.1,91.5±4.5,93.1±3.9,86.7±5.6,90.5±4.5,64.0±8.4,89.6±4.8,92.3±4.6,84.9±6.2,85.3±5.7,56.2±8.6,73.5±7.7,80.2±7.0,76.5±7.5,75.9±7.5,73.8±7.8,71.7±7.9
Connecticut,96.7±2.7,91.3±3.8,95.1±3.1,94.8±2.9,96.0±2.8,89.1±4.5,92.8±3.7,75.7±5.7,93.6±3.1,94.8±3.1,91.1±3.7,93.1±3.2,65.5±6.3,72.5±6.4,88.2±4.2,85.0±5.0,82.2±5.4,80.0±5.5,77.1±5.7
Delaware,98.2±2.1,90.9±4.3,98.0±2.1,94.4±3.4,96.9±3.0,88.5±4.9,90.1±4.2,72.3±6.7,94.6±3.4,97.2±2.3,87.0±5.2,89.5±4.7,65.7±7.1,76.5±6.5,89.5±4.5,84.9±5.5,77.4±6.2,77.0±6.3,72.6±6.7
Dist. of Columbia,96.6±2.2,90.7±4.0,95.7±2.4,93.0±3.7,96.3±2.2,86.1±4.9,92.7±3.5,78.2±5.4,93.3±3.4,95.6±2.4,82.8±5.4,90.4±4.3,62.3±6.6,54.2±6.8,89.4±4.2,83.7±5.1,81.6±5.4,80.8±5.4,73.4±6.2
