Region,3+DTaP¶,4+DTaP**,3+Polio††,1+MMR§§,3+Hib¶¶,Hib-PS***,Hib-FS†††,3+HepB§§§,HepB Birth dose¶¶¶,1+Var****,3+PCV††††,4+PCV§§§§,1+HepA¶¶¶¶,2+HepA*****,Rotavirus†††††,4:3:1§§§§§,4:3:1:3¶¶¶¶¶,4:3:1:3-PS******,4:3:1:4-FS††††††,4:3:1:3:3§§§§§§,4:3:1:3:3-PS¶¶¶¶¶¶,4:3:1:4:3-FS*******,4:3:1:3:3:1†††††††,4:3:1:0:3:1§§§§§§§,4:3:1:3:3:1-PS¶¶¶¶¶¶¶,4:3:1:4:3:1-FS********,4:3:1:3:3:1:4††††††††,4:3:1:0:3:1:4§§§§§§§§,4:3:1:3:3:1:4-PS¶¶¶¶¶¶¶¶,4:3:1:4:3:1:4-FS*********
US National,94.1±0.9,83.1±1.3,92.7±1.0,91.9±0.9,92.8±0.9,93.7±0.9,82.0±1.3,90.8±1.0,74.2±1.4,91.2±0.9,92.4±1.0,82.0±1.3,83.1±1.2,54.7±1.6,72.6±1.5,81.5±1.3,81.1±1.3,81.2±1.3,77.1±1.4,78.7±1.3,78.8±1.3,75.0±1.4,77.7±1.4,77.9±1.4,77.7±1.4,74.0±1.4,72.6±1.5,72.7±1.5,72.7±1.5,70.4±1.5
Alabama,94.3±5.0,84.0±7.3,93.3±5.2,89.7±5.8,92.4±5.9,92.4±5.9,85.3±7.1,89.8±6.1,81.7±7.1,92.2±5.3,94.3±5.0,86.9±6.8,85.9±5.7,59.2±8.9,74.8±7.8,82.4±7.4,82.4±7.4,82.4±7.4,79.9±7.6,80.3±7.5,80.3±7.5,77.8±7.7,79.9±7.6,79.9±7.6,79.9±7.6,77.5±7.8,78.5±7.6,78.5±7.6,78.5±7.6,77.0±7.8
Alaska,93.8±3.1,75.5±6.1,92.0±3.6,90.5±3.6,87.8±4.7,93.5±3.2,81.4±5.5,92.7±3.4,59.4±7.0,89.6±3.7,89.9±4.2,78.2±5.8,85.8±4.7,52.5±7.2,64.2±6.8,73.5±6.2,72.9±6.2,73.5±6.2,68.1±6.6,72.0±6.3,72.6±6.3,67.3±6.6,71.8±6.3,72.4±6.3,72.4±6.3,67.2±6.6,67.1±6.6,67.4±6.6,67.4±6.6,63.9±6.8
Arizona,91.8±4.3,76.6±6.6,91.2±4.3,91.4±3.7,90.0±4.6,91.4±4.2,79.5±6.4,88.4±4.6,79.1±5.8,89.6±4.2,88.4±5.0,76.8±6.7,88.8±4.6,55.4±8.1,70.9±7.5,75.5±6.6,75.5±6.6,75.5±6.6,73.8±6.7,72.8±6.7,72.8±6.7,71.1±6.8,70.3±6.9,70.3±6.9,70.3±6.9,68.6±6.9,66.6±7.7,66.6±7.7,66.6±7.7,65.1±7.7
Arkansas,92.2±4.6,74.3±8.3,89.4±6.3,88.3±5.9,90.9±4.9,92.1±4.4,70.3±8.1,88.6±6.2,79.7±7.3,87.2±6.3,91.3±4.6,69.5±8.6,69.1±8.1,35.8±7.9,56.0±9.0,72.7±8.3,71.9±8.4,71.9±8.4,63.3±8.9,68.1±8.4,68.1±8.4,60.5±8.9,67.9±8.4,68.7±8.4,67.9±8.4,60.3±8.9,60.6±8.8,60.6±8.8,60.6±8.8,57.1±8.9
California,91.7±5.2,83.1±6.4,90.5±5.4,90.7±5.3,90.9±5.3,91.8±5.1,80.1±6.7,91.1±5.2,70.3±7.7,90.4±5.3,89.7±5.6,79.1±7.1,84.5±6.5,56.8±8.4,76.8±7.2,82.4±6.4,82.2±6.4,82.2±6.4,76.6±7.0,81.9±6.4,81.9±6.4,76.4±7.0,81.9±6.4,82.2±6.4,81.9±6.4,76.4±7.0,72.6±7.6,72.6±7.6,72.6±7.6,69.3±7.8
Colorado,91.7±4.5,81.2±6.0,90.3±4.7,86.0±5.5,90.1±4.8,90.8±4.8,82.8±5.8,84.1±5.6,60.2±7.3,84.8±5.6,91.0±4.6,84.0±5.6,73.2±6.6,47.6±7.4,73.8±6.6,79.7±6.1,78.9±6.2,78.9±6.2,77.4±6.3,73.4±6.7,73.4±6.7,72.2±6.7,72.1±6.8,72.9±6.7,72.1±6.8,71.0±6.8,70.3±6.9,70.3±6.9,70.3±6.9,69.2±6.9
Connecticut,98.2±2.1,88.0±5.9,97.6±2.3,91.4±5.4,97.6±2.3,97.6±2.3,92.6±4.3,96.0±2.7,75.2±7.5,90.8±5.5,94.0±4.1,91.5±4.5,90.9±5.1,72.1±7.5,81.1±6.3,85.9±6.2,85.9±6.2,85.9±6.2,84.6±6.3,84.2±6.3,84.2±6.3,83.3±6.4,83.0±6.4,83.0±6.4,83.0±6.4,82.1±6.5,79.1±6.8,79.1±6.8,79.1±6.8,78.2±6.8
Delaware,98.7±1.5,87.9±5.0,97.4±2.3,94.8±3.4,97.5±2.3,97.5±2.3,84.4±5.3,93.7±3.1,83.6±5.3,92.3±4.3,96.9±2.9,88.0±5.0,85.3±5.6,64.2±7.0,83.9±5.6,85.8±5.3,85.8±5.3,85.8±5.3,80.8±5.9,81.8±5.7,81.8±5.7,76.8±6.2,79.3±6.1,79.3±6.1,79.3±6.1,74.3±6.5,74.8±6.4,74.8±6.4,74.8±6.4,71.8±6.6
Dist. of Columbia,97.2±2.4,86.2±5.8,96.1±2.9,96.2±3.1,96.2±3.1,96.2±3.1,87.5±5.3,92.5±4.7,78.3±6.9,95.0±3.6,96.6±2.6,88.9±5.2,93.7±3.9,66.2±8.4,68.4±8.1,86.1±5.8,86.1±5.8,86.1±5.8,83.9±6.1,83.0±6.6,83.0±6.6,80.8±6.8,81.5±6.8,81.5±6.8,81.5±6.8,79.3±7.0,78.9±7.1,78.9±7.1,78.9±7.1,76.9±7.2
Florida,92.6±4.7,80.3±7.7,91.2±6.1,93.4±4.0,91.1±5.1,92.6±4.5,79.4±7.7,89.0±5.3,58.0±8.3,92.8±4.2,91.1±4.9,79.1±6.7,75.8±7.4,48.7±8.0,66.0±8.1,78.4±8.5,78.0±8.5,78.0±8.5,74.9±8.6,75.8±8.6,75.8±8.6,72.8±8.6,74.7±8.6,75.2±8.6,74.7±8.6,71.6±8.7,70.7±8.7,70.7±8.7,70.7±8.7,70.0±8.7
Georgia,91.7±6.0,83.5±7.9,91.5±6.0,93.9±4.1,93.5±5.0,94.0±5.0,79.7±9.0,91.5±5.5,76.4±8.8,95.0±3.9,92.7±5.1,81.3±8.6,89.2±6.5,58.0±10.1,64.6±10.2,81.8±8.0,81.8±8.0,81.8±8.0,73.9±9.5,81.4±8.1,81.4±8.1,73.5±9.5,81.1±8.1,81.1±8.1,81.1±8.1,73.1±9.5,72.9±9.5,72.9±9.5,72.9±9.5,69.8±9.8
Hawaii,94.7±3.7,83.7±6.1,92.6±4.3,92.8±3.8,95.7±3.0,95.7±3.0,85.3±5.6,88.3±4.9,77.3±6.7,91.4±4.5,92.5±4.3,82.5±6.3,81.8±6.5,54.2±8.0,73.3±6.9,81.5±6.4,81.5±6.4,81.5±6.4,78.9±6.7,77.2±6.9,77.2±6.9,74.6±7.1,75.4±7.1,75.4±7.1,75.4±7.1,72.8±7.2,69.1±7.6,69.1±7.6,69.1±7.6,66.5±8.2
Idaho,93.9±3.3,84.2±5.3,92.6±3.7,91.1±4.3,91.2±4.3,94.7±3.1,80.0±5.9,90.7±4.3,72.7±6.5,87.9±4.8,93.3±3.4,87.3±4.6,87.6±4.6,60.7±7.3,74.6±6.4,81.8±5.7,80.7±6.0,81.8±5.7,75.5±6.5,78.5±6.3,79.6±6.1,73.2±6.7,76.9±6.4,78.0±6.2,78.0±6.2,71.6±6.8,75.2±6.5,76.2±6.4,76.2±6.4,70.2±6.9
Illinois,93.1±3.1,82.7±4.5,91.2±3.4,91.4±3.1,92.0±3.3,92.0±3.3,82.6±4.4,89.5±3.6,71.4±5.1,88.6±3.7,91.3±3.4,79.7±4.6,78.2±4.6,48.4±5.5,72.6±5.0,81.5±4.6,80.9±4.7,80.9±4.7,77.0±4.9,77.2±4.9,77.2±4.9,74.0±5.1,75.8±4.9,75.9±4.9,75.8±4.9,73.1±5.1,69.3±5.2,69.3±5.2,69.3±5.2,66.8±5.3
IL-City of Chicago,92.1±5.0,82.0±7.3,91.0±5.3,90.0±5.2,92.1±5.0,92.1±5.0,83.1±6.8,87.2±6.1,78.9±8.2,89.0±5.2,92.2±5.0,75.8±7.6,79.3±7.7,43.6±9.3,76.1±7.7,80.9±7.4,80.9±7.4,80.9±7.4,78.7±7.6,75.6±8.1,75.6±8.1,73.8±8.2,74.8±8.1,74.8±8.1,74.8±8.1,73.3±8.2,65.9±8.5,65.9±8.5,65.9±8.5,64.4±8.5
IL-Rest of State,93.4±3.9,83.0±5.5,91.3±4.3,91.9±3.8,92.0±4.1,92.0±4.1,82.4±5.5,90.3±4.3,68.7±6.2,88.4±4.7,91.0±4.2,81.0±5.6,77.8±5.6,50.1±6.7,71.4±6.2,81.7±5.7,80.9±5.7,80.9±5.7,76.4±6.1,77.8±6.0,77.8±6.0,74.1±6.2,76.2±6.0,76.3±6.0,76.2±6.0,73.0±6.2,70.5±6.3,70.5±6.3,70.5±6.3,67.7±6.5
Indiana,93.8±3.4,82.1±5.3,91.9±3.9,92.0±3.6,91.7±4.0,93.8±3.5,80.8±5.6,92.0±4.0,82.8±5.7,90.7±3.8,92.9±3.7,79.2±6.1,83.5±5.2,61.0±6.9,65.7±7.1,81.4±5.4,80.8±5.5,80.8±5.5,77.3±5.9,78.9±5.6,78.9±5.6,75.4±6.0,77.2±5.7,77.8±5.7,77.2±5.7,73.7±6.1,68.9±6.7,68.9±6.7,68.9±6.7,68.5±6.7
Iowa,97.7±2.0,89.6±4.4,97.5±2.0,94.5±3.9,97.1±2.2,97.5±2.0,89.1±4.6,96.5±2.5,79.5±7.2,93.0±3.6,96.5±2.3,90.7±4.7,81.7±6.1,57.5±8.6,74.7±8.2,87.4±5.3,87.4±5.3,87.4±5.3,83.5±5.9,86.2±5.5,86.2±5.5,82.6±6.0,83.9±5.8,83.9±5.8,83.9±5.8,80.3±6.3,81.9±6.3,81.9±6.3,81.9±6.3,78.3±6.7
Kansas,95.0±3.3,81.6±6.1,93.2±3.8,89.4±4.7,95.0±3.3,95.0±3.3,80.5±6.2,93.8±3.6,77.2±6.5,89.7±4.7,94.1±3.5,85.1±5.4,90.0±4.7,60.2±7.6,72.6±6.9,81.0±6.1,81.0±6.1,81.0±6.1,74.1±6.8,79.4±6.2,79.4±6.2,72.5±6.9,77.1±6.5,77.1±6.5,77.1±6.5,71.1±7.0,74.0±6.8,74.0±6.8,74.0±6.8,68.7±7.1
Kentucky,91.3±5.3,84.1±6.4,91.0±5.3,89.5±5.1,90.6±5.3,92.0±5.1,78.6±7.6,90.8±5.1,88.0±5.6,91.5±4.6,91.0±5.3,81.7±6.9,72.5±7.8,41.4±8.6,66.4±8.5,82.0±6.7,81.7±6.7,82.0±6.7,75.1±7.8,80.9±6.7,81.1±6.7,74.2±7.9,80.5±6.7,80.8±6.7,80.8±6.7,73.9±7.9,77.9±7.1,78.1±7.1,78.1±7.1,72.7±8.0
Louisiana,91.7±4.6,78.5±6.4,91.2±4.7,88.1±5.1,89.8±5.0,89.8±5.0,78.9±7.1,93.0±3.9,81.6±5.7,92.0±4.3,88.5±5.2,79.7±6.8,83.2±5.6,50.4±7.7,69.6±7.3,77.3±6.5,77.3±6.5,77.3±6.5,71.8±7.4,76.7±6.5,76.7±6.5,71.3±7.4,76.7±6.5,76.7±6.5,76.7±6.5,71.3±7.4,72.1±7.3,72.1±7.3,72.1±7.3,69.1±7.5
Maine,97.3±2.7,87.9±5.7,94.0±3.8,91.0±4.5,92.2±4.4,92.2±4.4,80.2±6.6,84.5±5.6,68.9±7.4,90.5±4.5,92.6±4.2,84.9±6.0,80.1±6.0,57.4±7.7,72.0±7.1,81.4±6.6,81.4±6.6,81.4±6.6,77.3±6.9,75.0±7.1,75.0±7.1,70.8±7.4,74.5±7.2,74.5±7.2,74.5±7.2,70.3±7.4,71.4±7.3,71.4±7.3,71.4±7.3,68.0±7.5
Maryland,97.2±3.0,87.4±6.5,97.0±3.0,95.3±4.4,95.7±3.4,95.9±3.4,85.8±6.4,91.0±5.5,75.4±7.7,94.2±4.6,94.5±4.4,85.8±6.8,84.4±6.9,55.6±9.2,83.7±6.6,87.2±6.5,86.9±6.5,86.9±6.5,84.3±6.7,82.9±7.1,82.9±7.1,81.2±7.2,81.9±7.2,82.2±7.2,81.9±7.2,80.4±7.3,77.1±8.0,77.4±8.0,77.1±8.0,75.8±8.0
